"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-01",,"0.02","0.3",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-02",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-03",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-04",,"0.00","0.0","8.5",,,,,,,"2.6",,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-05",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-06",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-07",,"0.17","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-08",,"0.14","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-09",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-10",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-11",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-12",,"0.55","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-13",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-14",,"0.25","2.5",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-15",,"0.07","0.2",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-16",,"0.03","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-17",,"0.46","2.2",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-18",,"0.00","0.0","1.5",,,,,,,"0.1",,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-19",,"0.00","0.0",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-20",,"0.00","0.0","0.0",,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-21",,"0.37","3.5",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-22",,"0.09","0.5",,,,,,,,,,,
"US1NYSL0021","HEUVELTON 0.3 WNW, NY US","2026-03-23",,"0.05","0.0",,,,,,,,,,,
