"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-01","70","89","61"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-02","73","86","64"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-03","74","86","62"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-04","75","85","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-05","78","87","72"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-06","78","87","71"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-07","77","85","70"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-08","77","87","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-09","76","90","63"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-10","75","89","64"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-11","76","88","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-12","75","88","63"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-13","72","83","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-14","75","87","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-15","71","83","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-16","77","86","68"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-17","63","68","55"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-18","62","70","55"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-19","69","80","59"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-20","68","79","57"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-21","69","82","57"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-22","70","83","58"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-23","71","84","60"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-24","71","86","60"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-25","72","85","59"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-26","73","85","62"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-27","74","85","64"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-28","74","88","64"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-29","75","86","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-30","75","83","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-03-31","75","84","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-01","74","84","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-02","74","85","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-03","77","85","72"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-04","76","85","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-05","77","86","68"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-06","76","89","66"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-07","75","87","69"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-08","75","86","68"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-09","75","83","70"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-10","74","83","65"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-11","72","83","63"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-12","73","82","62"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-13","72","83","60"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-14","72","84","60"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-15","72","84","60"
"USR0000FCAC","CACHE FLORIDA, FL US","2026-04-16","73","86","57"
