"STATION","NAME","DATE","AWND","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5"
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-01",,,,"0.00",,,,"89","71","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-02",,,,"0.00",,,,"82","72","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-03",,,,"0.00",,,,"89","72","77",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-04",,,,"0.00",,,,"88","73","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-05",,,,"0.05",,,,"87","73","77",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-06",,,,"0.02",,,,"84","75","78",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-07",,,,"0.00",,,,"89","75","78",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-08",,,,"0.04",,,,"89","74","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-09",,,,"0.00",,,,"88","75","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-10",,,,"0.00",,,,"90","74","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-11",,,,"0.00",,,,"91","75","77",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-12",,,,"0.00",,,,"86","76","77",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-13",,,,"0.02",,,,"91","74","74",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-14",,,,"0.00",,,,"92","74","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-15",,,,"0.00",,,,"91","76","78",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-18",,,,"0.04",,,,"90","61","63",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-19",,,,"0.00",,,,"70","62","66",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-20",,,,"0.00",,,,"80","64","66",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-21",,,,"0.25",,,,"81","65","67",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-22",,,,"0.00",,,,"79","67","69",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-24",,,,"0.00",,,,"81","67","70",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-25",,,,"0.00",,,,"81","69","72",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-26",,,,"0.00",,,,"87","71","73",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-28",,,,"0.00",,,,"88","72","74",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-29",,,,"0.00",,,,"89","72","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-30",,,,"0.00",,,,"88","73","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-03-31",,,,"0.60",,,,"86","72","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-01",,,,"0.05",,,,"84","73","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-02",,,,"0.00",,,,"87","73","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-03",,,,"0.00",,,,"86","75","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-04",,,,"0.00",,,,"86","74","76",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-05",,,,"0.00",,,,"87","75","77",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-06",,,,"0.00",,,,"90","74","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-07",,,,"0.04",,,,"89","73","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-10",,,,"0.00",,,,"91","72","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-11",,,,"0.08",,,,"87","70","72",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-13",,,,"0.00",,,,"86","70","75",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-14",,,,"0.00",,,,"86","72","74",,,,,,
"USC00080414","BAHIA HONDA STATE PARK, FL US","2026-04-15",,,,"0.00",,,,"86","72","74",,,,,,
"USW00012896","MARATHON AIRPORT, FL US","2026-03-01","5.59",,,"0.00","0.0","0.0",,"81","70",,"   60","   60",,,"17.9","27.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-02","12.75",,,"0.00","0.0","0.0",,"82","73",,"   70","   80",,,"19.9","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-03","14.32",,,"0.01","0.0","0.0",,"82","73",,"   70","  110",,,"21.9","29.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-04","15.66",,,"0.01","0.0","0.0",,"82","73",,"   70","   60",,,"23.0","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-05","15.21",,,"0.03","0.0","0.0",,"81","74",,"   90","  100",,,"21.0","30.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-06","14.76",,,"0.00","0.0","0.0",,"83","76",,"   90","   70",,,"19.9","34.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-07","13.87",,,"0.00","0.0","0.0",,"82","76",,"   90","  110",,,"19.9","28.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-08","11.63",,,"0.00","0.0","0.0",,"82","76",,"  100","  100",,,"17.0","25.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-09","10.29",,,"0.00","0.0","0.0",,"82","76",,"  100","  100",,,"16.1","19.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-10","10.96",,,"0.00","0.0","0.0",,"82","74",,"  100","  110",,,"16.1","19.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-11","11.41",,,"0.00","0.0","0.0",,"82","76",,"  100","  120",,,"15.0","21.9"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-12","7.38",,,"0.00","0.0","0.0",,"82","77",,"  160","  170",,,"13.0","21.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-13","2.01",,,"0.04","0.0","0.0",,"82","73",,"  160","  170",,,"8.1","14.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-14","6.26",,,"0.01","0.0","0.0",,"82","74",,"  110","  150",,,"14.1","31.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-15","10.74",,,"0.07","0.0","0.0",,"83","74",,"   60","   70",,,"19.9","28.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-16","8.28",,,"2.14","0.0","0.0",,"84","70",,"  160","  330",,,"21.9","34.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-17","8.28",,,"1.07","0.0","0.0",,"76","63",,"  320","  310",,,"16.1","27.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-18","10.96",,,"0.00","0.0","0.0",,"71","61",,"   30","   10",,,"16.1","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-19","12.08",,,"0.00","0.0","0.0",,"77","65",,"   60","  350",,,"17.0","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-20","11.41",,,"0.00","0.0","0.0",,"76","63",,"   70","   20",,,"17.9","32.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-21","6.93",,,"0.00","0.0","0.0",,"76","66",,"   20","   20",,,"13.0","23.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-22","5.37",,,"0.00","0.0","0.0",,"77","69",,"  350","  330",,,"8.9","15.0"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-23","4.92",,,"0.00","0.0","0.0",,"79","66",,"   30","   20",,,"10.1","16.1"
"USW00012896","MARATHON AIRPORT, FL US","2026-03-24","4.70",,,"0.00","0.0","0.0",,"78","68",,"   40","   30",,,"10.1","16.1"
